,id,title,views,evaluation,evaluation_tmdb,release_date,genre_ids,diff
215,522627,The Gentlemen,1,7.4,7.7,2020-01-01,"[28, 35, 80]",-0.2999999999999998
216,278927,The Jungle Book,1,6.0,6.8,2016-04-07,"[12, 18, 10751, 14]",-0.7999999999999998
217,57158,The Hobbit: The Desolation of Smaug,1,7.0,7.6,2013-12-11,"[12, 14, 28]",-0.5999999999999996
218,9325,The Jungle Book,1,8.0,7.3,1967-10-18,"[10751, 16, 12]",0.7000000000000002
219,463684,Velvet Buzzsaw,1,6.4,5.4,2019-02-01,"[53, 9648, 27]",1.0
220,398978,The Irishman,1,7.5,7.7,2019-11-01,"[80, 18, 36]",-0.20000000000000018
221,1724,The Incredible Hulk,1,6.8,6.2,2008-06-12,"[878, 28, 12]",0.5999999999999996
222,10316,The Ides of March,1,7.5,6.7,2011-09-24,[18],0.7999999999999998
223,45202,The Housemaid,1,7.5,6.5,2010-05-13,"[53, 18]",1.0
224,398173,The House That Jack Built,1,7.6,7.2,2018-10-04,"[18, 27, 80, 53]",0.39999999999999947
225,590,The Hours,1,7.0,7.3,2002-12-27,[18],-0.2999999999999998
226,335983,Venom,1,6.0,6.7,2018-09-28,"[878, 28]",-0.7000000000000002
227,122917,The Hobbit: The Battle of the Five Armies,1,7.0,7.3,2014-12-10,"[28, 12, 14]",-0.2999999999999998
228,346685,The Girl on the Train,1,6.5,6.4,2016-10-05,"[80, 18, 9648, 53]",0.09999999999999964
229,49051,The Hobbit: An Unexpected Journey,1,7.0,7.3,2012-11-26,"[12, 14, 28]",-0.2999999999999998
230,273248,The Hateful Eight,1,9.7,7.7,2015-12-25,"[80, 18, 9648, 37]",1.9999999999999991
231,18785,The Hangover,1,6.4,7.3,2009-06-02,[35],-0.8999999999999995
232,497,The Green Mile,1,8.9,8.5,1999-12-10,"[14, 18, 80]",0.40000000000000036
233,64682,The Great Gatsby,1,6.7,7.4,2013-05-10,"[18, 10749]",-0.7000000000000002
234,479226,The Purity of Vengeance,1,4.9,7.2,2018-10-04,"[80, 53, 9648, 18]",-2.3
235,914,The Great Dictator,1,8.2,8.4,1940-10-23,[35],-0.20000000000000107
236,240,The Godfather: Part II,1,9.2,8.6,1974-12-20,"[18, 80]",0.5999999999999996
237,238,The Godfather,1,9.5,8.7,1972-03-14,"[18, 80]",0.8000000000000007
238,300673,The Finest Hours,1,5.9,6.5,2016-01-25,"[28, 18, 36, 53]",-0.5999999999999996
